192.168.72.135 : [153], 64 bytes, 21.6 ms (29.7 avg, 1% loss)
192.168.72.135 : [154], 64 bytes, 49.3 ms (29.8 avg, 1% loss)
192.168.72.135 : [155], 64 bytes, 34.8 ms (29.8 avg, 1% loss)
192.168.72.135 : [156], 64 bytes, 36.8 ms (29.9 avg, 1% loss)
192.168.72.135 : [157], 64 bytes, 17.7 ms (29.8 avg, 1% loss)
192.168.72.135 : [158], 64 bytes, 38.1 ms (29.9 avg, 1% loss)
192.168.72.135 : [159], 64 bytes, 23.1 ms (29.8 avg, 1% loss)
192.168.72.135 : [160], 64 bytes, 38.5 ms (29.9 avg, 1% loss)
192.168.72.135 : [161], 64 bytes, 23.4 ms (29.8 avg, 1% loss)
192.168.72.135 : [162], 64 bytes, 43.5 ms (29.9 avg, 1% loss)
192.168.72.135 : [163], 64 bytes, 27.6 ms (29.9 avg, 1% loss)
192.168.72.135 : [164], 64 bytes, 28.0 ms (29.9 avg, 1% loss)
192.168.72.135 : [165], 64 bytes, 18.3 ms (29.8 avg, 1% loss)
192.168.72.135 : [166], 64 bytes, 40.0 ms (29.9 avg, 1% loss)
192.168.72.135 : [167], 64 bytes, 23.7 ms (29.8 avg, 1% loss)
192.168.72.135 : [168], 64 bytes, 54.5 ms (30.0 avg, 1% loss)
192.168.72.135 : [169], 64 bytes, 34.6 ms (30.0 avg, 1% loss)
192.168.72.135 : [170], 64 bytes, 32.4 ms (30.0 avg, 1% loss)
192.168.72.135 : [171], 64 bytes, 20.7 ms (30.0 avg, 1% loss)
192.168.72.135 : [172], 64 bytes, 19.4 ms (29.9 avg, 1% loss)
192.168.72.135 : [173], 64 bytes, 21.7 ms (29.9 avg, 1% loss)
192.168.72.135 : [174], 64 bytes, 24.9 ms (29.8 avg, 1% loss)
192.168.72.135 : [175], 64 bytes, 23.8 ms (29.8 avg, 1% loss)
192.168.72.135 : [176], 64 bytes, 37.2 ms (29.9 avg, 1% loss)
192.168.72.135 : [177], 64 bytes, 20.8 ms (29.8 avg, 1% loss)
192.168.72.135 : [178], 64 bytes, 43.4 ms (29.9 avg, 1% loss)
192.168.72.135 : [179], 64 bytes, 25.0 ms (29.8 avg, 1% loss)

192.168.72.135 : xmt/rcv/%loss = 180/177/1%, min/avg/max = 17.7/29.8/54.5

       1 targets
       1 alive
       0 unreachable
       0 unknown addresses

       3 timeouts (waiting for response)
     180 ICMP Echos sent
     180 ICMP Echo Replies received
       0 other ICMP received

 17.7 ms (min round trip time)
 29.8 ms (avg round trip time)
 54.5 ms (max round trip time)
        9.870 sec (elapsed real time)

